Reference,Invoice,External Reference,Create Date,Validated Date,Amount Usd,Fee amount USD,Local Amount,Local Fee Amount,Local VAT,Local Original Amount,Local Currency,Exchange Rate,Country,User account,EXTRAE,Payment Method,Payment Method Name,Payment Method Type,Status,FechaMin,DiasDesdeFechaMin,CohortGroup,CohortPeriod,Pais,Plan,Duracion,ID
T-57873-df599144-7562-49ae-98a6-2b46fafea7ae,CO-P1-12-603896,314351355,2022-11-15 21:53:44,2022-11-15 21:53:43,79.17,4.59,408000.0,23664.0,0.0,0.0,COP,5153.508,CO,bb4d815a-c2dd-4ff8-bcca-db4841e19b27,1-12,VI,Visa,CREDIT_CARD,PAID,2022-11-15 21:53:44,0,0,0,CO,P1,12.0,603896
T-57873-214ff56b-7a6b-499b-8ce6-41a0d155d07a,CO-P1-12-498804,314351520,2022-11-15 21:55:02,2022-11-15 21:55:01,79.17,4.59,408000.0,23664.0,0.0,0.0,COP,5153.508,CO,bb4d815a-c2dd-4ff8-bcca-db4841e19b27,1-12,VI,Visa,CREDIT_CARD,PAID,2022-11-15 21:55:02,0,0,0,CO,P1,12.0,498804
T-57873-773ce4a5-a16d-4715-9c85-4f665cb4cc51,CO-P1-12-571256,209953372,2022-11-15 21:55:11,2022-11-15 21:55:11,79.17,4.59,408000.0,23664.0,0.0,0.0,COP,5153.508,CO,bb4d815a-c2dd-4ff8-bcca-db4841e19b27,1-12,VI,Visa,CREDIT_CARD,PAID,2022-11-15 21:55:11,0,0,0,CO,P1,12.0,571256
T-57873-b7f8fa45-22fa-49ba-bd2c-d9b9a4b10a4c,CO-P1-12-813185,70047,2022-11-15 22:38:36,0,79.17,4.59,408000.0,23664.0,0.0,0.0,COP,5153.508,CO,f476d6f9-fca2-4b58-86e8-30f969826f7e,1-12,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-15 22:38:36,0,0,0,CO,P1,12.0,813185
T-57873-91e3136f-ab5d-4708-8a2e-1182a4b7890d,CO-P1-12-397807,70045,2022-11-15 22:38:36,0,79.17,4.59,408000.0,23664.0,0.0,0.0,COP,5153.508,CO,f476d6f9-fca2-4b58-86e8-30f969826f7e,1-12,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-15 22:38:36,0,0,0,CO,P1,12.0,397807
T-57873-e20d9906-9ad5-4c7e-bda7-3f8167114f31,CO-P1-12-435716,71456,2022-11-15 22:39:07,0,79.17,4.59,408000.0,23664.0,0.0,0.0,COP,5153.508,CO,f476d6f9-fca2-4b58-86e8-30f969826f7e,1-12,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-15 22:39:07,0,0,0,CO,P1,12.0,435716
T-57873-464c7d63-add5-40d6-945b-ce8cf9a2907d,CO-P1-12-656872,76333,2022-11-15 22:40:42,0,79.17,4.59,408000.0,23664.0,0.0,0.0,COP,5153.508,CO,f476d6f9-fca2-4b58-86e8-30f969826f7e,1-12,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-15 22:40:42,0,0,0,CO,P1,12.0,656872
T-57873-88fd7809-e9ba-44d4-8e01-5d50d1537be0,CO-P1-12-628685,76332,2022-11-15 22:40:43,0,79.17,4.59,408000.0,23664.0,0.0,0.0,COP,5153.508,CO,f476d6f9-fca2-4b58-86e8-30f969826f7e,1-12,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-15 22:40:43,0,0,0,CO,P1,12.0,628685
T-57873-4340cc5b-ec35-457e-872e-95970306539c,CO-P1-12-803425,78520,2022-11-15 22:41:30,0,79.17,4.59,408000.0,23664.0,0.0,0.0,COP,5153.508,CO,f476d6f9-fca2-4b58-86e8-30f969826f7e,1-12,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-15 22:41:30,0,0,0,CO,P1,12.0,803425
T-57873-18fcf5d7-be1f-4197-bb5f-e11f75a6cccf,CO-P1-12-470984,78810,2022-11-15 22:41:39,0,79.17,4.59,408000.0,23664.0,0.0,0.0,COP,5153.508,CO,f476d6f9-fca2-4b58-86e8-30f969826f7e,1-12,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-15 22:41:39,0,0,0,CO,P1,12.0,470984
T-57873-70e70be8-af7e-4b25-a15c-f9bff600f5fb,CO-P1-12-803433,85066,2022-11-15 22:43:50,0,79.17,4.59,408000.0,23664.0,0.0,0.0,COP,5153.508,CO,f476d6f9-fca2-4b58-86e8-30f969826f7e,1-12,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-15 22:43:50,0,0,0,CO,P1,12.0,803433
